Brand,Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C
Head Tennis,PRESTIGE PWR (graphene XT),52 - 62,20'M - 18'C,16M X 19C,"7,9B",6B,7T,5T - 4B
Head Tennis,PRESTIGE REV PRO (graphene & graphene XT),48 - 57,21'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,PRESTIGE S (graphene & graphene XT),48 - 57,21'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,PRESTIGE TOUR 300 MID,48 - 58,35' - 10'S,18M X 20C,"8,10T - 8,10B",9B,8B,9T
Head Tennis,PRESTIGE TOUR 300 MP,54 - 64,20'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,PRO TOUR 280 MP,50 - 60,20'M - 17'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 5B
Head Tennis,PRO TOUR 280 OS,59 - 69,21'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,PROTECTOR MP,51 - 61,20'M - 17'C,16M X 19C,8T - 8B,6T,8T,7T - 7B
Head Tennis,PROTECTOR OS,51 - 61,20'M - 17'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,PURE COMPETITION & XL,50 - 62,20'M - 19'C,18M X 19C,"9T - 8,10B",8T,9T,7T - 6B
Head Tennis,PYRAMID BIG BANG,60 - 70,21'M - 17'C,16M X 19C,8T - 8B,7B,8T,7T - 6B
Head Tennis,PYRAMID BIG BANG XL,57 - 66,20'M - 18'C,16M X 19C,"7,9T - 8B",6T,7T,5T - 6B
Head Tennis,PYRAMID COMPETITION SG,60 - 70,21'M - 17'C,16M X 19C,"8,9T - 8B",7B,8T,5T - 6B
Head Tennis,PYRAMID DIRECTOR,57 - 67,21'M - 17'C,16M X 19C,8T - 8B,7B,8T,7T - 6B
Head Tennis,PYRAMID EDGE,60 - 70,21'M - 17'C,16M X 19C,"8,9T - 8B",7B,8T,5T - 6B
Head Tennis,PYRAMID MASTER,60 - 70,21'M - 17'C,16M X 19C,"8,9T - 8B",7B,8T,5T - 6B
Head Tennis,PYRAMID TOUR 630 MP,54 - 64,35' - 10'S,18M X 20C,"9T - 8,10B",7T,9T,6B
Head Tennis,RADICAL LITE (graphene XT),48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,RADICAL MP (graphene & graphene XT),48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,RADICAL MPA (16x16),48 - 57,20'M - 17'C,16M X 16C,8T - 8B,7T,8T,6T - 7B
Head Tennis,RADICAL MPA (16x19),48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,RADICAL PRO (graphene & graphene XT),48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,RADICAL PWR (14x19),52 - 62,19'M - 18'C,14M X 19C,"5,7,9,10T - 7B",6T,5T,4T - 6B
Head Tennis,RADICAL PWR (16x19),52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,6T - 5B
Head Tennis,RADICAL S (graphene & graphene XT),48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,RADICAL TEAM 2023 & 2025,48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,RADICAL TOUR 630 MP,50 - 60,20'M - 17'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 5B
Head Tennis,RADICAL TOUR 690 OS,59 - 69,21'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,RADICAL TRISYS 260 MP,50 - 60,20'M - 17'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 5B
Head Tennis,RADICAL TRISYS 260 OS,59 - 69,21'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,RADICAL TWIN TUBE & XL MP,50 - 60,20'M - 17'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 5B
Head Tennis,RADICAL TWIN TUBE & XL OS,59 - 69,21'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,SATELLITE TOUR & XL,54 - 64,21'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,SPEED MP & MP L 2024,48 - 57,21'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Head Tennis,SUPREME COMPETITION & XL,50 - 62,20'M - 19'C,18M X 19C,"9T - 8,10B",7T,9T,7T - 6B
Head Tennis,Ti 3003,52 - 62,38' - 10'S,16M X 19C,"8T - 7,9B",7T,8T,8B
Head Tennis,Ti 5003,54 - 64,39' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,7T
Head Tennis,Ti CARBON 5000,55 - 59,39' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,7T
